,match_id,radiant_team,dire_team, winner
1,8601156710,"[75, 74, 73, 7, 86]","[92, 91, 45, 83, 53]",0
2,8601156688,"[42, 36, 14, 119, 59]","[102, 28, 40, 22, 21]",1
3,8601156658,"[100, 52, 120, 45, 72]","[102, 7, 53, 79, 87]",0
4,8601156539,"[98, 35, 64, 17, 67]","[112, 136, 22, 109, 2]",1
5,8601156516,"[108, 109, 69, 62, 128]","[63, 28, 32, 14, 73]",0
6,8601156500,"[21, 101, 11, 81, 28]","[56, 61, 113, 83, 106]",1
7,8601156442,"[110, 26, 47, 49, 96]","[6, 137, 74, 53, 14]",1
8,8601156438,"[102, 68, 39, 21, 41]","[22, 18, 88, 129, 35]",0
9,8601156432,"[65, 7, 128, 39, 102]","[71, 145, 20, 70, 52]",1
10,8601156410,"[45, 13, 87, 6, 7]","[10, 126, 96, 86, 35]",0
11,8601156408,"[96, 94, 101, 40, 36]","[19, 86, 2, 64, 1]",1
12,8601156390,"[129, 75, 53, 128, 114]","[59, 26, 101, 8, 47]",0
13,8601156311,"[83, 70, 68, 63, 46]","[58, 35, 61, 101, 55]",1
14,8601156297,"[26, 119, 60, 76, 64]","[6, 98, 52, 7, 111]",0
15,8601156295,"[106, 72, 55, 100, 7]","[101, 49, 137, 45, 102]",1
16,8601156258,"[74, 14, 101, 104, 53]","[22, 145, 82, 75, 16]",1
17,8601156205,"[26, 48, 87, 39, 49]","[5, 54, 7, 28, 33]",1
18,8601156191,"[95, 88, 106, 75, 64]","[14, 59, 45, 128, 145]",1
19,8601156185,"[67, 97, 26, 45, 36]","[8, 102, 74, 40, 35]",1
20,8601156137,"[64, 101, 21, 53, 98]","[82, 128, 8, 62, 20]",1
21,8601156133,"[47, 119, 98, 70, 75]","[39, 71, 21, 6, 84]",0
22,8601156128,"[86, 54, 26, 97, 36]","[2, 53, 145, 128, 126]",1
23,8601156125,"[101, 123, 94, 135, 53]","[40, 59, 100, 3, 54]",0
24,8601156032,"[126, 86, 22, 16, 1]","[63, 39, 96, 40, 71]",1
25,8601156011,"[98, 20, 54, 9, 85]","[86, 47, 29, 88, 72]",1
26,8601155984,"[84, 59, 87, 60, 102]","[100, 128, 11, 98, 39]",1
27,8601155938,"[75, 69, 129, 70, 26]","[101, 78, 53, 67, 47]",0
28,8601155789,"[47, 119, 49, 2, 9]","[39, 99, 75, 14, 28]",1
29,8601155774,"[113, 87, 74, 7, 86]","[31, 12, 100, 69, 18]",0
30,8601155728,"[14, 26, 104, 74, 6]","[53, 72, 2, 21, 131]",1
31,8601155722,"[79, 61, 21, 2, 64]","[135, 74, 41, 11, 128]",0
32,8601155689,"[97, 105, 128, 1, 13]","[47, 30, 51, 7, 12]",0
33,8601155611,"[53, 55, 11, 109, 14]","[41, 27, 21, 18, 129]",1
34,8601155551,"[52, 26, 129, 86, 8]","[126, 135, 123, 64, 73]",1
35,8601155507,"[128, 70, 11, 97, 5]","[6, 121, 2, 105, 36]",0
36,8601155345,"[14, 86, 94, 62, 145]","[123, 37, 49, 129, 1]",1
37,8601155285,"[13, 103, 14, 53, 71]","[39, 84, 99, 8, 87]",1
38,8601155261,"[6, 101, 7, 11, 74]","[1, 100, 137, 86, 123]",1
39,8601155245,"[14, 12, 64, 13, 108]","[98, 8, 101, 21, 137]",1
40,8601155209,"[85, 101, 72, 39, 135]","[45, 80, 47, 8, 98]",1
41,8601155206,"[79, 8, 7, 129, 30]","[104, 98, 74, 44, 34]",1
42,8601155037,"[17, 28, 105, 14, 41]","[26, 123, 129, 52, 48]",0
43,8601154957,"[59, 42, 49, 39, 101]","[47, 28, 54, 21, 40]",0
44,8601154896,"[84, 74, 37, 72, 81]","[128, 102, 101, 64, 98]",0
45,8601154877,"[101, 52, 84, 35, 8]","[1, 87, 2, 75, 105]",1
46,8601154823,"[48, 47, 102, 87, 88]","[92, 42, 53, 35, 38]",1
47,8601154803,"[86, 18, 22, 79, 129]","[8, 69, 60, 84, 35]",0
48,8601154750,"[108, 64, 51, 6, 39]","[8, 2, 36, 79, 53]",0
49,8601154637,"[64, 38, 72, 11, 37]","[40, 50, 51, 47, 26]",1
50,8601154537,"[113, 75, 13, 71, 102]","[3, 128, 6, 84, 145]",1
51,8601154491,"[39, 60, 111, 21, 40]","[129, 22, 88, 6, 36]",1
52,8601152790,"[8, 39, 58, 135, 131]","[26, 14, 40, 36, 63]",1
53,8601152779,"[31, 14, 82, 25, 77]","[102, 46, 129, 39, 128]",0
54,8601152742,"[2, 74, 12, 84, 45]","[31, 126, 1, 69, 63]",1
